DatePulled2,domain,visits2,pageviews2,users2,pageviews_per_session2,avg_session_duration2,exits2
5/17/20,apps.irs.gov,5646096,37763239,4132684,6.69,264.87,4483080
5/17/20,earthquake.usgs.gov,5549178,8740018,2440346,1.58,92.98,5715678
5/17/20,home.treasury.gov,5437350,10076990,3948788,1.85,105.18,5412499
5/17/20,fs.usda.gov,5345402,15447242,3543721,2.89,193.69,5345402
5/17/20,nhlbi.nih.gov,5032282,11324498,4025826,2.25,61.97,5032282
5/17/20,osha.gov,5004946,12502425,3098892,2.5,185.42,5022342
5/17/20,faq.usps.com,4910513,6625217,3956243,1.35,65.47,4679401
5/17/20,census.gov,4579998,10086930,3257937,2.2,134.87,4587453
5/17/20,about.usps.com,4125229,7872726,3123742,1.91,98.74,4271848
5/17/20,healthcare.gov,4068072,12040201,3031795,2.96,152.37,4065587
5/17/20,hhs.gov,3913997,6379194,3071556,1.63,110.38,3814594
5/17/20,medicare.gov,3759922,15872190,2482592,4.22,328.35,3757437
5/17/20,niddk.nih.gov,3610818,4550177,3295213,1.26,61.91,3658034
5/17/20,search.usa.gov,3603362,7681375,2693824,2.13,78.91,3471653
5/17/20,water.weather.gov,3546206,5757925,979121,1.62,132.94,3571056
5/17/20,benefits.gov,3518870,4517871,2688854,1.28,73.25,3518870
5/17/20,uspto.gov,3501474,7823024,1297210,2.23,194,3243026
5/17/20,bls.gov,3498989,8441808,2261421,2.41,140.97,3466683
5/17/20,spc.noaa.gov,3416982,27571936,673456,8.07,834.73,3466683
5/17/20,drugabuse.gov,3404556,5569059,2805653,1.64,128.29,3409526
5/17/20,defense.gov,3250481,5248484,1764405,1.61,105.92,3238056
5/17/20,nih.gov,3151078,5049678,2793227,1.6,114.31,3116287
5/17/20,nhc.noaa.gov,3011914,6486052,1304666,2.15,79.14,3019369
5/17/20,usgs.gov,3004459,4883177,2370764,1.63,101.17,2803167
5/17/20,ghr.nlm.nih.gov,2989548,4299184,2547205,1.44,123.76,2872750
5/17/20,waterdata.usgs.gov,2967183,6478597,959240,2.18,86.94,3006944
5/17/20,search.cdc.gov,2939847,4756438,1873748,1.62,50.22,2701279
5/17/20,hud.gov,2875235,6364284,1841442,2.21,128.24,2875235
5/17/20,archives.gov,2862809,5723134,2206749,2,94.16,2845414
5/17/20,postcalc.usps.com,2862809,16814035,2229115,5.87,183.92,3210720
5/17/20,bop.gov,2835474,6341918,2037764,2.24,100.84,2835474
5/17/20,idcf.bls.gov,2780802,3354855,39761,1.21,32.6,2780802
5/17/20,ceac.state.gov,2686369,37392962,844926,13.92,721.7,2785772
5/17/20,consumer.ftc.gov,2639152,3653064,2316092,1.38,71.36,2636667
5/17/20,opm.gov,2606846,7477598,1794226,2.87,162.89,2601876
5/17/20,wwwnc.cdc.gov,2596906,4202266,2273846,1.62,93.55,2577025
5/17/20,eauth.va.gov,2574540,20151494,1148106,7.83,291.15,2611817
5/17/20,accessdata.fda.gov,2529809,17467610,1493532,6.9,339.07,2753466
5/17/20,fema.gov,2509928,6955732,1858838,2.77,153.21,2408040
5/17/20,dhs.gov,2450286,3730101,2134682,1.52,55.17,2445316
5/17/20,apod.nasa.gov,2422951,5496992,1237569,2.27,100.75,2455257
5/17/20,federalregister.gov,2410525,4018370,1856353,1.67,94.17,2408040
5/17/20,energy.gov,2343428,3578512,1863808,1.53,69.59,2338458
5/17/20,ndbc.noaa.gov,2281301,15849825,581508,6.95,1131.92,2286271
5/17/20,consumerfinance.gov,2211719,4130199,1811622,1.87,105.39,2209234
5/17/20,beta.sam.gov,2186868,15916922,1257449,7.28,251.38,2186868
5/17/20,aviationweather.gov,2164503,14087905,683396,6.51,2714.97,2162017
5/17/20,cbp.gov,2162017,4644610,1717189,2.15,103.31,2216689
5/17/20,mobile.weather.gov,2050189,3312608,347911,1.62,122.56,2045219
5/17/20,www2.ed.gov,2050189,3429407,1595420,1.67,126.25,1990547
5/17/20,solarsystem.nasa.gov,1980607,6230089,1555659,3.15,193.41,2035279
5/17/20,faa.gov,1970667,5223633,1346912,2.65,158.99,1968181
5/17/20,state.gov,1970667,3113802,1637666,1.58,75.95,1925935
5/17/20,fns.usda.gov,1891144,4607334,1520867,2.44,105.2,1896114
5/17/20,sam.gov,1891144,28993400,613814,15.33,385.81,1891144
5/17/20,ebenefits.va.gov,1784286,3715191,1110830,2.08,140.34,2082495
5/17/20,ftc.gov,1766890,2885175,1538263,1.63,72.55,1771860
5/17/20,spaceplace.nasa.gov,1761920,4763894,1414009,2.7,180.82,1769375
5/17/20,nhtsa.gov,1734584,2668973,1287270,1.54,81.62,1734584
5/17/20,airnow.gov,1697308,2293727,546717,1.35,219.08,1697308
5/17/20,eric.ed.gov,1672457,3342429,1138166,2,130.73,1662517
5/17/20,ods.od.nih.gov,1667487,2293727,1540748,1.38,99.39,1645121
5/17/20,my.uscis.gov,1615300,5757925,966695,3.56,218.05,1488561
5/17/20,spotthestation.nasa.gov,1607845,4927909,1056158,3.06,114.55,1640151
5/17/20,usda.gov,1587965,2410525,1048703,1.52,111.71,1523353
5/17/20,tsa.gov,1540748,2591936,1088464,1.68,88.81,1535778
5/17/20,dvprogram.state.gov,1538263,5914485,929419,3.84,207.35,1563114
5/17/20,fdic.gov,1515897,2609331,797710,1.72,119.44,1515897
5/17/20,niaid.nih.gov,1513412,2365794,1177927,1.56,113.83,1488561
5/17/20,samhsa.gov,1476136,2574540,1155561,1.74,84.16,1466196
5/17/20,poboxes.usps.com,1458741,2318577,586478,1.59,62.54,1386673
5/17/20,treasury.gov,1416494,2639152,1003971,1.86,106.61,1399099
5/17/20,sba.gov,1406554,2403070,1175442,1.71,58.44,1384188
5/17/20,blast.ncbi.nlm.nih.gov,1391643,35064444,474650,25.2,652.63,1545718
5/17/20,mymedicare.gov,1386673,2442831,934389,1.76,161.53,1386673
5/17/20,oceanservice.noaa.gov,1386673,1776830,1202778,1.28,65.1,1374248
5/17/20,auth.nih.gov,1369278,3548691,395127,2.59,54.01,1374248
5/17/20,climate.nasa.gov,1359337,2440346,971665,1.8,225.78,1319576
5/17/20,nia.nih.gov,1354367,1841442,1202778,1.36,91.94,1344427
5/17/20,pe.usps.com,1349397,2979608,1349397,2.21,123.22,1297210
5/17/20,nces.ed.gov,1329516,4898088,976635,3.68,200.59,1334487
5/17/20,caweb.sba.gov,1327031,16918408,201291,12.75,1450.44,1324546
5/17/20,star.nesdis.noaa.gov,1292240,9920430,362821,7.68,346.39,1282300
5/17/20,vsearch.nlm.nih.gov,1269875,2157047,839956,1.7,49.56,1262419
5/17/20,uscourts.gov,1259934,2353368,951785,1.87,110.55,1269875
5/17/20,faq.ssa.gov,1249994,2716190,1118285,2.17,191.86,1081009
5/17/20,mx.usembassy.gov,1245024,2499988,961725,2.01,117.5,1252479
5/17/20,benefits.va.gov,1230113,2266391,1001486,1.84,129.17,1341942
5/17/20,nsf.gov,1220173,2619272,907053,2.15,93.07,1240054
5/17/20,tricare.mil,1205263,3039250,884688,2.52,171.62,1205263
5/17/20,nimh.nih.gov,1192837,2020368,1048703,1.69,71.26,1200292
5/17/20,nist.gov,1163016,1993032,971665,1.71,49.36,1115800
5/17/20,navy.mil,1158046,2326033,877232,2.01,70.19,1150591
5/17/20,public.navy.mil,1150591,2977123,519381,2.59,290.49,1123255
5/17/20,eeoc.gov,1143136,2221659,800195,1.94,94.96,1145621
5/17/20,e-verify.uscis.gov,1125740,3019369,233597,2.68,210.76,1125740
5/17/20,holdmail.usps.com,1115800,1930905,623754,1.73,96.22,1103374
5/17/20,rd.usda.gov,1098404,2350883,375247,2.14,248.3,1098404
5/17/20,ed.gov,1095919,1617785,839956,1.48,82.25,1125740
5/17/20,search.ssa.gov,1083494,2437861,785285,2.25,121.47,897113
5/17/20,catalog.usmint.gov,1076039,5700768,658546,5.3,198.48,1110830
5/17/20,treasurydirect.gov,1076039,2969668,700792,2.76,174.32,1073554
5/17/20,earthobservatory.nasa.gov,1071068,1786771,946815,1.67,76.19,1058643
5/17/20,nrcs.usda.gov,1068583,2594421,380217,2.43,264.82,1016397
5/17/20,gsa.gov,1051188,2435376,743038,2.32,108.01,1043733
5/17/20,energystar.gov,1041247,1538263,514411,1.48,47.08,1038762
5/17/20,smclinician.myhealth.va.gov,1028822,10367744,904568,10.08,496.06,1028822
5/17/20,womenshealth.gov,1028822,1366793,946815,1.33,60.65,1018882
5/17/20,my.uspto.gov,1023852,2368279,390157,2.31,233.56,1036277
5/17/20,history.state.gov,1011427,1523353,877232,1.51,111.16,1013912
5/17/20,infosida.nih.gov,979121,1197807,904568,1.22,45.39,966695
5/17/20,choosemyplate.gov,976635,4073042,738068,4.17,262,976635
5/17/20,training.fema.gov,966695,2708735,459739,2.8,275.65,964210
5/17/20,i94.cbp.dhs.gov,956755,1391643,571568,1.45,79.21,959240
5/17/20,search.uscis.gov,954270,1284785,392642,1.35,39.37,899598
5/17/20,mars.nasa.gov,946815,1878719,867292,1.98,84.68,936874
5/17/20,ttp.cbp.dhs.gov,944329,1607845,395127,1.7,144.5,944329
5/17/20,fsis.usda.gov,916994,1530808,596419,1.67,74.24,929419
5/17/20,passportstatus.state.gov,916994,3441832,526836,3.75,126.22,1339457
5/17/20,share.america.gov,904568,1498502,675941,1.66,114.79,899598
5/17/20,jpl.nasa.gov,889658,1833987,815105,2.06,125.96,969180
5/17/20,nlm.nih.gov,889658,1518382,663516,1.71,185.88,822561
5/17/20,msc.fema.gov,884688,1660032,350396,1.88,437.58,852382
5/17/20,mhvidp-prod.myhealth.va.gov,877232,2224144,524351,2.54,126.71,810135
5/17/20,marines.mil,872262,1933390,437374,2.22,164.06,847411
5/17/20,nsopw.gov,859837,3556146,511926,4.14,402.98,852382
5/17/20,wrh.noaa.gov,859837,1327031,250993,1.54,124.96,797710
5/17/20,af.mil,854867,1655062,663516,1.94,125.33,827531
5/17/20,nasasearch.nasa.gov,834986,2022853,559142,2.42,82.26,571568
5/17/20,atf.gov,800195,1108345,663516,1.39,31.91,810135
5/17/20,nvd.nist.gov,800195,1791741,526836,2.24,165.18,802680
5/17/20,therealcost.betobaccofree.hhs.gov,790255,872262,703277,1.1,2.58,790255
5/17/20,nidcd.nih.gov,787770,1088464,613814,1.38,79.1,777829
5/17/20,dailymed.nlm.nih.gov,785285,1317091,633695,1.68,77.61,787770
5/17/20,wpc.ncep.noaa.gov,785285,1744524,295724,2.22,949.52,718187
5/17/20,ams.usda.gov,762919,2171958,377732,2.85,169.36,787770
5/17/20,consumidor.ftc.gov,760434,1088464,651090,1.43,56.46,750493
5/17/20,usaid.gov,757949,1751980,601389,2.31,143.77,757949
5/17/20,medicaid.gov,752979,1657547,583993,2.2,138.73,752979
5/17/20,nsa.gov,748008,1130710,653575,1.51,52.7,748008
5/17/20,data.bls.gov,745523,1587965,462224,2.13,54.74,770374
5/17/20,li-public.fmcsa.dot.gov,745523,8205726,164015,11.01,612.57,790255
5/17/20,health.gov,738068,1051188,623754,1.42,41.37,738068
5/17/20,ready.gov,728128,1158046,626240,1.59,100.43,728128
5/17/20,cpsc.gov,723158,1187867,541747,1.64,76.23,718187
5/17/20,obamawhitehouse.archives.gov,715702,854867,623754,1.19,30.72,715702
5/17/20,eclkc.ohs.acf.hhs.gov,705762,2564600,300694,3.63,220.28,710732
5/17/20,fiscal.treasury.gov,693337,1493532,549202,2.15,161,688366
5/17/20,oig.hhs.gov,690852,969180,628725,1.4,40.5,636180
5/17/20,redelivery.usps.com,688366,1140651,529322,1.66,147.18,656060
5/17/20,dea.gov,685881,1751980,494530,2.55,82.61,688366
5/17/20,blogs.va.gov,683396,996516,651090,1.46,86.21,688366
5/17/20,cisa.gov,680911,1230113,581508,1.81,63.2,680911
5/17/20,acf.hhs.gov,673456,1341942,566598,1.99,85.45,680911
5/17/20,ace.cbp.dhs.gov,668486,907053,94433,1.36,145.78,668486
5/17/20,exclusions.oig.hhs.gov,666001,5496992,206261,8.25,627.93,720672
5/17/20,ice.gov,666001,1220173,506956,1.83,125.03,653575
5/17/20,gsaadvantage.gov,656060,6573030,258448,10.02,526.77,653575
5/17/20,marine.weather.gov,656060,1473651,273359,2.25,117.86,680911
5/17/20,ssd.noaa.gov,653575,1018882,32306,1.56,273.75,656060
5/17/20,reginfo.gov,641150,1426435,623754,2.22,29.67,638665
5/17/20,science.nasa.gov,638665,949300,544232,1.49,132.54,608844
5/17/20,usmint.gov,631210,1341942,482105,2.13,95.64,591448
5/17/20,atsdr.cdc.gov,621269,827531,526836,1.33,66.8,631210
5/17/20,donotcall.gov,606359,1384188,424948,2.28,94.54,606359
5/17/20,pay.gov,603874,4579998,392642,7.58,590.04,603874
5/17/20,spaceforce.mil,598904,1225143,521866,2.05,75.39,598904
5/17/20,doi.gov,588963,996516,387672,1.69,105.83,588963
5/17/20,climatekids.nasa.gov,586478,1612815,469680,2.75,205.14,571568
5/17/20,nichd.nih.gov,586478,723158,514411,1.23,59.58,571568
5/17/20,tidesandcurrents.noaa.gov,586478,1322061,273359,2.25,134.84,651090
5/17/20,acquisition.gov,571568,1737069,278329,3.04,244.46,566598
5/17/20,time.gov,571568,21426339,248508,37.49,12259.68,571568
5/17/20,tsdr.uspto.gov,571568,2052674,196321,3.59,380.3,661031
5/17/20,hiv.gov,564113,723158,499501,1.28,91.24,561628
5/17/20,f1.weather.gov,554172,683396,203776,1.23,90.23,559142
5/17/20,ahrq.gov,549202,1053673,424948,1.92,104.26,544232
5/17/20,catalog.data.gov,546717,1272360,410038,2.33,119.15,549202
5/17/20,aidsinfo.nih.gov,541747,899598,514411,1.66,95.32,546717
5/17/20,covid19treatmentguidelines.nih.gov,541747,1873748,412523,3.46,192.33,531807
5/17/20,nccih.nih.gov,536777,653575,484590,1.22,72.21,509441
5/17/20,webbook.nist.gov,534292,2124741,303179,3.98,254.97,559142
5/17/20,grc.nasa.gov,531807,822561,444829,1.55,100.33,531807
5/17/20,ncdc.noaa.gov,529322,2335973,350396,4.41,176.73,549202
5/17/20,fws.gov,526836,1120770,395127,2.13,95.43,521866
5/17/20,login.usajobs.gov,521866,2211719,872262,4.24,329.4,1232598
5/17/20,universalenroll.dhs.gov,514411,1322061,352881,2.57,272.25,514411
5/17/20,regulations.gov,506956,626240,380217,1.24,87.08,479620
5/17/20,earthexplorer.usgs.gov,501986,916994,168985,1.83,188.23,521866
5/17/20,espanol.nichd.nih.gov,501986,631210,459739,1.26,71.88,499501
5/17/20,dcma.mil,499501,817591,119284,1.64,274.63,497016
5/17/20,fisheries.noaa.gov,492045,976635,315605,1.98,70.62,497016
5/17/20,emergency.cdc.gov,482105,638665,444829,1.32,76.01,474650
5/17/20,us-cert.gov,477135,628725,397612,1.32,30.2,477135
5/17/20,espanol.womenshealth.gov,474650,633695,412523,1.34,42.21,477135
5/17/20,clearinghouse.fmcsa.dot.gov,472165,2425436,268388,5.14,306.68,469680
5/17/20,gsaauctions.gov,469680,4453259,278329,9.48,272.5,469680
5/17/20,mobile.va.gov,469680,715702,253478,1.52,80.57,462224
5/17/20,deadiversion.usdoj.gov,467195,924449,323060,1.98,176.15,464710
5/17/20,privacyshield.gov,467195,683396,400097,1.46,40.89,467195
5/17/20,nationalservice.gov,459739,1103374,236082,2.4,129.06,459739
5/17/20,es.usps.com,454769,690852,280814,1.52,60.95,472165
5/17/20,vacareers.va.gov,454769,646120,342941,1.42,84.77,462224
5/17/20,pptform.state.gov,452284,5124230,347911,11.33,496.4,444829
5/17/20,healthypeople.gov,444829,1061128,280814,2.39,145.69,444829
5/17/20,ihs.gov,444829,1163016,268388,2.61,130.25,442344
5/17/20,fsa.usda.gov,437374,834986,323060,1.91,81.22,444829
5/17/20,health.mil,434889,827531,298209,1.9,63.35,432403
5/17/20,aspe.hhs.gov,429918,608844,402583,1.42,57.96,434889
5/17/20,blogs.cdc.gov,427433,534292,415008,1.25,65.43,444829
5/17/20,defensetravel.dod.mil,427433,792740,333000,1.85,117.08,427433
5/17/20,aphis.usda.gov,419978,1063613,303179,2.53,152.98,417493
5/17/20,itl.nist.gov,419978,536777,360336,1.28,82.64,419978
5/17/20,esta.cbp.dhs.gov,415008,626240,288269,1.51,140.65,412523
5/17/20,bea.gov,410038,949300,270873,2.32,115.47,419978
5/17/20,mcrc.marines.mil,410038,514411,24851,1.25,181.05,412523
5/17/20,uk.usembassy.gov,410038,929419,290754,2.27,133.98,415008
5/17/20,flag.dol.gov,405068,777829,57157,1.92,187.43,405068
5/17/20,jfklibrary.org,402583,1008941,335485,2.51,198.48,402583
5/17/20,teens.drugabuse.gov,402583,638665,360336,1.59,113.06,400097
5/17/20,step.state.gov,397612,2084980,323060,5.24,266.13,385187
5/17/20,dla.mil,395127,661031,193836,1.67,163.79,328030
5/17/20,dni.gov,390157,656060,320575,1.68,82.14,390157
5/17/20,ai.fmcsa.dot.gov,385187,3687855,126739,9.57,539.45,330515
5/17/20,ourdocuments.gov,385187,487075,335485,1.26,39.66,385187
5/17/20,training.seer.cancer.gov,380217,511926,347911,1.35,64.63,382702
5/17/20,data.cdc.gov,377732,757949,357851,2.01,81.06,352881
5/17/20,osac.gov,377732,839956,280814,2.22,118.16,377732
5/17/20,identitytheft.gov,375247,437374,293239,1.17,94.63,375247
5/17/20,ttp.dhs.gov,370277,422463,265903,1.14,61.27,372762
5/17/20,in.usembassy.gov,367791,807650,310635,2.2,151.17,372762
5/17/20,its.gov,367791,395127,335485,1.07,8.92,367791
5/17/20,portal.uspto.gov,367791,29266758,275844,79.57,1199.52,506956
5/17/20,climate.gov,365306,579023,293239,1.59,119.1,365306
5/17/20,nidcr.nih.gov,365306,432403,315605,1.18,59.63,355366
5/17/20,dfas.mil,362821,1013912,265903,2.79,198.28,362821
5/17/20,ic3.gov,362821,946815,270873,2.61,102.35,362821
5/17/20,commerce.gov,360336,504471,270873,1.4,57.76,360336
5/17/20,ada.gov,355366,591448,275844,1.66,75.86,360336
5/17/20,foodsafety.gov,355366,469680,313120,1.32,65.99,352881
5/17/20,starchild.gsfc.nasa.gov,355366,457254,328030,1.29,74.52,360336
5/17/20,history.navy.mil,352881,770374,305665,2.18,97.54,360336
5/17/20,stopbullying.gov,352881,646120,250993,1.83,187.59,352881
5/17/20,www3.epa.gov,352881,1647606,310635,4.67,299.02,370277
5/17/20,publichealth.va.gov,350396,449799,308150,1.28,96.96,323060
5/17/20,hrsa.gov,345426,539262,310635,1.56,65.44,352881
5/17/20,smokefree.gov,345426,444829,308150,1.29,32.14,342941
5/17/20,fhwa.dot.gov,335485,651090,255963,1.94,81.88,325545
5/17/20,ncjrs.gov,335485,971665,263418,2.9,54.66,330515
5/17/20,cem.va.gov,333000,588963,241053,1.77,118.59,337971
5/17/20,rrb.gov,330515,777829,124254,2.35,61.98,330515
5/17/20,kids.niehs.nih.gov,325545,352881,295724,1.08,34.3,265903
5/17/20,ptsd.va.gov,325545,531807,278329,1.63,103.08,315605
5/17/20,search.osha.gov,325545,487075,173955,1.5,60.66,303179
5/17/20,fhfa.gov,323060,492045,253478,1.52,65.27,323060
5/17/20,onlineclaims.usps.com,323060,1056158,156560,3.27,277.35,390157
5/17/20,e-verify.gov,320575,583993,241053,1.82,106.45,323060
5/17/20,gateway.usps.com,320575,825046,139164,2.57,90.32,325545
5/17/20,my.americorps.gov,320575,3583482,173955,11.18,499.26,318090
5/17/20,osti.gov,320575,506956,265903,1.58,76.56,318090
5/17/20,retail-pi.usps.com,320575,680911,233597,2.12,87.82,293239
5/17/20,do.usembassy.gov,318090,531807,250993,1.67,134.16,313120
5/17/20,csrc.nist.gov,313120,797710,221172,2.55,127.64,325545
5/17/20,peacecorps.gov,310635,1167986,223657,3.76,257.38,323060
5/17/20,espanol.epa.gov,308150,429918,300694,1.4,106.91,300694
5/17/20,mentalhealth.va.gov,305665,380217,283299,1.24,29.82,310635
5/17/20,ncei.noaa.gov,300694,713217,144134,2.37,209.65,260933
5/17/20,search.treasury.gov,300694,631210,218687,2.1,102.64,290754
5/17/20,salud.nih.gov,298209,375247,278329,1.26,28.24,295724
5/17/20,public.cyber.mil,295724,643635,203776,2.18,111.05,293239
5/17/20,niehs.nih.gov,293239,236082,278329,0.81,67.92,173955
5/17/20,fec.gov,290754,1103374,211232,3.79,277.51,293239
5/17/20,support.nlm.nih.gov,288269,355366,300694,1.23,42.19,258448
5/17/20,pubs.usgs.gov,285784,723158,248508,2.53,202.9,303179
5/17/20,search.uspto.gov,285784,586478,176441,2.05,77.73,248508
5/17/20,search.nih.gov,283299,434889,231112,1.54,57.02,231112
5/17/20,disasterassistance.gov,278329,1796711,221172,6.46,287.29,278329
5/17/20,data.hrsa.gov,275844,434889,146620,1.58,38.04,253478
5/17/20,studyinthestates.dhs.gov,275844,484590,198806,1.76,79.32,273359
5/17/20,br.usembassy.gov,273359,591448,211232,2.16,148.74,268388
5/17/20,ers.usda.gov,273359,521866,236082,1.91,112.39,285784
5/17/20,teas.uspto.gov,273359,2611817,59642,9.55,582.92,186381
5/17/20,eddm.usps.com,270873,392642,69582,1.45,79.78,250993
5/17/20,vaccines.gov,270873,333000,238567,1.23,32.33,270873
5/17/20,cftc.gov,268388,688366,188866,2.56,185.13,255963
5/17/20,nal.usda.gov,268388,479620,231112,1.79,149.55,246023
5/17/20,fdc.nal.usda.gov,265903,1386673,201291,5.21,106.7,278329
5/17/20,fmcsa.dot.gov,265903,546717,223657,2.06,166.37,260933
5/17/20,exoplanets.nasa.gov,263418,825046,250993,3.13,173.72,278329
5/17/20,login.gov,263418,680911,295724,2.58,136.03,285784
5/17/20,tools.cdc.gov,263418,308150,231112,1.17,83.74,213717
5/17/20,jp.usembassy.gov,260933,561628,208747,2.15,128.63,263418
5/17/20,niams.nih.gov,258448,444829,241053,1.72,142.92,253478
5/17/20,ozonewatch.gsfc.nasa.gov,258448,566598,114314,2.19,511.94,258448
5/17/20,newsinhealth.nih.gov,255963,323060,253478,1.26,25.18,263418
5/17/20,usbr.gov,253478,1006456,159045,3.97,128.36,253478
5/17/20,blogs.nasa.gov,250993,350396,223657,1.4,78.72,228627
5/17/20,pivauth.nih.gov,248508,258448,79522,1.04,27.35,246023
5/17/20,labornet.dol.gov,246023,345426,86978,1.4,118.19,241053
5/17/20,ph.usembassy.gov,243538,407553,166500,1.67,99.06,241053
5/17/20,vn.usembassy.gov,243538,492045,198806,2.02,156.14,248508
5/17/20,wdr.doleta.gov,243538,372762,183896,1.53,163.95,241053
5/17/20,worldview.earthdata.nasa.gov,243538,305665,109343,1.26,81.01,236082
5/17/20,afdc.energy.gov,241053,626240,191351,2.6,93.64,238567
5/17/20,research.gov,241053,569083,49702,2.36,180.93,241053
5/17/20,catalog.archives.gov,238567,524351,213717,2.2,176.8,258448
5/17/20,navsea.navy.mil,238567,405068,173955,1.7,99.63,238567
5/17/20,arts.gov,236082,509441,181411,2.16,172.51,233597
5/17/20,pe.usembassy.gov,236082,487075,198806,2.06,108.53,241053
5/17/20,wwwn.cdc.gov,236082,402583,233597,1.71,131.05,231112
5/17/20,chinese.cdc.gov,233597,492045,208747,2.11,90.16,236082
5/17/20,goes.noaa.gov,233597,283299,37276,1.21,92.4,233597
5/17/20,ars.usda.gov,231112,402583,171470,1.74,140.88,223657
5/17/20,fbohome.sam.gov,228627,265903,159045,1.16,42.83,228627
5/17/20,jobcorps.gov,228627,434889,166500,1.9,102.45,221172
5/17/20,portal.eoir.justice.gov,228627,730613,32306,3.2,379.24,246023
5/17/20,auth.cdc.gov,226142,472165,101888,2.09,152.08,216202
5/17/20,ca.usembassy.gov,226142,546717,166500,2.42,103.44,218687
5/17/20,data.gov,226142,427433,178926,1.89,70.93,226142
5/17/20,huduser.gov,226142,385187,171470,1.7,90.64,226142
5/17/20,portal.fmcsa.dot.gov,226142,2139652,74552,9.46,2372.99,246023
5/17/20,de.usembassy.gov,223657,333000,181411,1.49,76.1,211232
5/17/20,imagine.gsfc.nasa.gov,223657,303179,178926,1.36,105.14,228627
5/17/20,jobs.cdc.gov,223657,499501,193836,2.23,114.78,213717
5/17/20,militarypay.defense.gov,223657,506956,183896,2.27,167.56,223657
5/17/20,ies.ed.gov,221172,879717,116799,3.98,246,221172
5/17/20,il.usembassy.gov,218687,310635,91948,1.42,92.51,178926
5/17/20,co.usembassy.gov,216202,492045,181411,2.28,226.56,216202
5/17/20,tr.usembassy.gov,216202,377732,183896,1.75,108.06,213717
5/17/20,ru.usembassy.gov,213717,424948,161530,1.99,123.93,206261
5/17/20,iris.custhelp.va.gov,211232,345426,181411,1.64,223.96,186381
5/17/20,usitc.gov,211232,437374,79522,2.07,134.21,211232
5/17/20,water.usgs.gov,211232,514411,171470,2.44,78.84,218687
5/17/20,cfpub.epa.gov,208747,442344,250993,2.12,141.59,226142
5/17/20,postalpro.usps.com,208747,412523,183896,1.98,127.13,186381
